"Source","5-64","65+","<5","All ages"
"Beef","17
(2.67 - 59.5)","4.44
(0.695 - 15.5)","3.91
(0.612 - 13.7)","25.4
(3.97 - 88.7)"
"Crustaceans","0","0","0","0"
"Dairy","5.12
(0.222 - 33.7)","1.33
(0.058 - 8.78)","1.18
(0.051 - 7.73)","7.63
(0.331 - 50.2)"
"Eggs","0","0","0","0"
"Finfish","0","0","0","0"
"Fruit","2.33
(0.277 - 13.2)","0.608
(0.0721 - 3.43)","0.536
(0.0635 - 3.02)","3.48
(0.412 - 19.6)"
"Grains and seeds","1.58
(0.1 - 11)","0.411
(0.0261 - 2.86)","0.362
(0.023 - 2.52)","2.35
(0.149 - 16.4)"
"Lamb","5.01
(0.319 - 32.2)","1.31
(0.0831 - 8.39)","1.15
(0.0732 - 7.39)","7.46
(0.475 - 48)"
"Molluscs","0","0","0","0"
"Nuts","0.763
(0.0132 - 6.6)","0.199
(0.00343 - 1.72)","0.175
(0.00302 - 1.51)","1.14
(0.0196 - 9.83)"
"Pork","3.34
(0.145 - 23.4)","0.87
(0.0379 - 6.11)","0.766
(0.0333 - 5.38)","4.97
(0.217 - 34.9)"
"Poultry","0","0","0","0"
"Vegetables","10.6
(1.69 - 48.3)","2.76
(0.439 - 12.6)","2.43
(0.387 - 11.1)","15.8
(2.51 - 72)"
"Other","3.43
(0.468 - 20.6)","0.894
(0.122 - 5.37)","0.787
(0.107 - 4.73)","5.11
(0.697 - 30.7)"
"AllFood","52.5
(19.9 - 132)","13.7
(5.2 - 34.4)","12
(4.58 - 30.3)","78.2
(29.7 - 197)"
