"Source","5-64","65+","<5","All ages"
"Beef","21,900
(8,350 - 69,800)","5,000
(1,650 - 17,600)","4,380
(1,820 - 15,600)","31,300
(12,000 - 103,000)"
"Crustaceans","102
(3.17 - 3,320)","33.5
(2.88 - 758)","39
(1.11 - 1,270)","173
(8.45 - 5,350)"
"Dairy","18,000
(4,440 - 62,300)","4,640
(1,020 - 16,000)","3,440
(950 - 14,400)","26,200
(6,490 - 93,100)"
"Eggs","9,390
(948 - 31,600)","2,130
(215 - 7,150)","3,600
(363 - 12,100)","15,100
(1,530 - 50,800)"
"Finfish","704
(99.5 - 6,370)","181
(34.1 - 1,670)","241
(29.7 - 1,820)","1,130
(166 - 9,880)"
"Fruit","3,150
(762 - 13,700)","585
(102 - 2,330)","1,070
(219 - 4,390)","4,810
(1,100 - 20,100)"
"Grains and seeds","2,020
(127 - 12,600)","463
(30.9 - 2,860)","746
(37.1 - 4,810)","3,230
(195 - 20,300)"
"Lamb","16,500
(5,060 - 59,800)","3,590
(861 - 14,500)","3,230
(1,120 - 14,100)","23,300
(7,240 - 89,000)"
"Molluscs","548
(4.32 - 3,720)","128
(4.31 - 845)","210
(1.59 - 1,430)","885
(10.4 - 5,990)"
"Nuts","1,030
(65.1 - 7,190)","236
(15.8 - 1,640)","381
(19.4 - 2,710)","1,650
(101 - 11,500)"
"Pork","20,200
(7,330 - 66,400)","4,890
(1,550 - 16,800)","4,060
(1,630 - 15,000)","29,200
(10,600 - 98,000)"
"Poultry","155,000
(73,000 - 278,000)","43,000
(19,900 - 77,600)","24,600
(12,100 - 42,900)","223,000
(105,000 - 398,000)"
"Vegetables","32,600
(12,000 - 78,400)","7,810
(2,580 - 19,600)","7,870
(2,860 - 19,400)","48,400
(17,700 - 117,000)"
"Other","27,400
(4,520 - 78,400)","7,120
(793 - 20,800)","4,410
(987 - 15,300)","38,900
(6,420 - 114,000)"
"AllFood","286,000
(195,000 - 427,000)","74,900
(49,900 - 114,000)","53,400
(37,700 - 76,100)","414,000
(284,000 - 616,000)"
