"Source","5-64","65+","<5","All ages"
"Beef","19,400
(7,480 - 60,100)","4,330
(1,450 - 15,100)","3,880
(1,630 - 13,400)","27,600
(10,800 - 88,600)"
"Crustaceans","86.6
(3 - 2,770)","29.7
(2.68 - 632)","33
(1.05 - 1,060)","149
(7.94 - 4,470)"
"Dairy","15,600
(3,930 - 53,300)","4,000
(888 - 13,700)","2,980
(843 - 12,200)","22,600
(5,750 - 79,500)"
"Eggs","7,910
(800 - 26,500)","1,790
(181 - 6,000)","3,030
(307 - 10,100)","12,700
(1,290 - 42,600)"
"Finfish","604
(87.4 - 5,550)","157
(30.8 - 1,460)","206
(26.1 - 1,600)","967
(146 - 8,640)"
"Fruit","2,780
(704 - 12,400)","504
(93.3 - 1,990)","932
(201 - 3,880)","4,220
(1,020 - 18,100)"
"Grains and seeds","1,710
(115 - 10,600)","393
(28.1 - 2,410)","634
(33.6 - 4,040)","2,740
(178 - 17,000)"
"Lamb","14,700
(4,590 - 51,500)","3,110
(765 - 12,300)","2,890
(1,010 - 12,100)","20,800
(6,540 - 76,600)"
"Molluscs","462
(3.86 - 3,110)","108
(4.11 - 708)","177
(1.41 - 1,190)","746
(9.93 - 5,010)"
"Nuts","878
(58.9 - 6,070)","201
(14.4 - 1,390)","324
(17.5 - 2,290)","1,400
(91.2 - 9,730)"
"Pork","17,800
(6,550 - 57,000)","4,240
(1,360 - 14,400)","3,580
(1,460 - 12,900)","25,700
(9,530 - 84,400)"
"Poultry","133,000
(62,700 - 238,000)","36,800
(17,100 - 66,400)","21,100
(10,300 - 36,700)","191,000
(90,400 - 341,000)"
"Vegetables","28,300
(10,600 - 67,200)","6,700
(2,240 - 16,700)","6,800
(2,520 - 16,600)","41,900
(15,600 - 100,000)"
"Other","23,900
(4,120 - 67,400)","6,140
(702 - 17,900)","3,860
(892 - 13,100)","33,900
(5,830 - 97,600)"
"AllFood","247,000
(169,000 - 367,000)","64,300
(42,900 - 98,100)","46,000
(32,600 - 65,300)","357,000
(245,000 - 529,000)"
