"Source","5-64","65+","<5","All ages"
"Beef","1,230
(329 - 4,850)","332
(85.7 - 1,290)","236
(70.2 - 1,070)","1,800
(491 - 7,190)"
"Crustaceans","7.4
(0.000088 - 248)","1.68
(0.0000199 - 56.3)","2.84
(0.0000337 - 95.2)","11.9
(0.000142 - 400)"
"Dairy","1,190
(202 - 4,520)","322
(52.9 - 1,180)","220
(42.3 - 1,030)","1,740
(301 - 6,750)"
"Eggs","691
(69.3 - 2,350)","157
(15.7 - 532)","265
(26.6 - 900)","1,110
(112 - 3,780)"
"Finfish","34.9
(0.0688 - 239)","7.92
(0.0156 - 54.1)","13.4
(0.0264 - 91.5)","56.3
(0.111 - 384)"
"Fruit","161
(13.4 - 735)","36.5
(3.03 - 166)","61.8
(5.13 - 282)","259
(21.5 - 1,180)"
"Grains and seeds","137
(2.6 - 925)","31.1
(0.589 - 210)","52.5
(0.996 - 355)","221
(4.18 - 1,490)"
"Lamb","863
(136 - 4,090)","235
(34.4 - 1,050)","159
(31.6 - 964)","1,260
(205 - 6,200)"
"Molluscs","40.2
(0.0657 - 277)","9.12
(0.0149 - 62.7)","15.4
(0.0252 - 106)","64.8
(0.106 - 445)"
"Nuts","68.4
(1.45 - 524)","15.5
(0.328 - 119)","26.2
(0.554 - 201)","110
(2.33 - 844)"
"Pork","1,080
(204 - 4,540)","292
(52.5 - 1,200)","202
(45.6 - 1,020)","1,570
(306 - 6,780)"
"Poultry","11,600
(5,320 - 21,200)","3,220
(1,470 - 5,940)","1,830
(873 - 3,250)","16,600
(7,680 - 30,400)"
"Vegetables","2,080
(592 - 5,520)","537
(149 - 1,430)","506
(144 - 1,370)","3,140
(904 - 8,280)"
"Other","1,750
(98.4 - 5,640)","490
(24.1 - 1,540)","261
(24.5 - 1,070)","2,510
(151 - 8,210)"
"AllFood","19,900
(12,900 - 31,100)","5,420
(3,470 - 8,570)","3,640
(2,440 - 5,420)","29,000
(18,800 - 45,000)"
