"Source","5-64","65+","<5","All ages"
"Beef","1,210
(345 - 4,980)","324
(91.1 - 1,320)","244
(73.8 - 1,040)","1,780
(516 - 7,360)"
"Crustaceans","8.53
(0.000137 - 334)","1.93
(0.000031 - 75.7)","3.27
(0.0000524 - 128)","13.7
(0.00022 - 538)"
"Dairy","1,130
(233 - 4,600)","305
(62.2 - 1,210)","219
(49.6 - 1,010)","1,670
(348 - 6,880)"
"Eggs","674
(53.8 - 3,080)","153
(12.2 - 698)","258
(20.6 - 1,180)","1,090
(86.6 - 4,960)"
"Finfish","57.2
(7.18 - 563)","14.1
(1.84 - 147)","18.9
(2.13 - 171)","90.5
(11.3 - 881)"
"Fruit","159
(10.7 - 965)","36
(2.43 - 219)","60.8
(4.11 - 370)","255
(17.3 - 1,550)"
"Grains and seeds","138
(2.61 - 1,190)","31.2
(0.591 - 271)","52.8
(1 - 458)","222
(4.2 - 1,920)"
"Lamb","861
(184 - 4,200)","233
(48.3 - 1,090)","168
(42.2 - 929)","1,270
(277 - 6,310)"
"Molluscs","40
(0.0665 - 376)","9.06
(0.0151 - 85.3)","15.3
(0.0255 - 144)","64.3
(0.107 - 606)"
"Nuts","68.3
(1.4 - 691)","15.5
(0.318 - 157)","26.2
(0.538 - 265)","110
(2.26 - 1,110)"
"Pork","1,280
(391 - 4,850)","348
(105 - 1,290)","263
(87.1 - 1,030)","1,900
(589 - 7,220)"
"Poultry","10,100
(3,990 - 21,400)","2,780
(1,090 - 5,990)","1,640
(679 - 3,380)","14,500
(5,810 - 30,700)"
"Vegetables","2,110
(607 - 6,200)","543
(156 - 1,580)","518
(144 - 1,630)","3,190
(918 - 9,440)"
"Other","1,630
(179 - 5,700)","454
(47.4 - 1,560)","263
(39.2 - 1,040)","2,350
(269 - 8,300)"
"AllFood","18,700
(10,200 - 33,300)","5,050
(2,740 - 9,100)","3,620
(1,940 - 6,300)","27,400
(15,000 - 48,400)"
