"Source","5-64","65+","<5","All ages"
"Beef","0.0547
(0.00797 - 0.273)","0.355
(0.0528 - 1.65)","0.000591
(0.0000038 - 0.0103)","0.423
(0.0668 - 1.85)"
"Crustaceans","0","0","0","0"
"Dairy","0.0522
(0.00402 - 0.241)","0.343
(0.0264 - 1.43)","0.00052
(0.00000278 - 0.00954)","0.411
(0.0321 - 1.61)"
"Eggs","0","0","0","0"
"Finfish","0","0","0","0"
"Fruit","0","0","0","0"
"Grains and seeds","0","0","0","0"
"Lamb","0.039
(0.0019 - 0.209)","0.254
(0.0125 - 1.24)","0.000375
(0.00000183 - 0.00781)","0.305
(0.015 - 1.39)"
"Molluscs","0","0","0","0"
"Nuts","0","0","0","0"
"Pork","0.0483
(0.00391 - 0.251)","0.313
(0.026 - 1.51)","0.000487
(0.00000265 - 0.00958)","0.374
(0.032 - 1.7)"
"Poultry","0.64
(0.203 - 1.49)","4.17
(1.4 - 8.83)","0.00724
(0.0000552 - 0.0774)","4.93
(1.87 - 9.8)"
"Vegetables","0.0637
(0.0048 - 0.269)","0.417
(0.0324 - 1.62)","0.000623
(0.00000348 - 0.0108)","0.501
(0.0391 - 1.81)"
"Other","0.093
(0.0000562 - 0.357)","0.609
(0.000333 - 2.16)","0.000843
(0.000000415 - 0.0152)","0.734
(0.000366 - 2.42)"
"AllFood","0.998
(0.407 - 2.05)","6.5
(2.82 - 12.1)","0.0118
(0.0000962 - 0.114)","7.62
(3.83 - 13.3)"
