"Source","5-64","65+","<5","All ages"
"Beef","0.389
(0.0658 - 1.12)","0.0626
(0.00745 - 0.266)","0.033
(0.00314 - 0.164)","0.533
(0.0941 - 1.38)"
"Crustaceans","0","0","0","0"
"Dairy","0.114
(0.0051 - 0.66)","0.0187
(0.00072 - 0.146)","0.00972
(0.000332 - 0.0853)","0.153
(0.00688 - 0.83)"
"Eggs","0","0","0","0"
"Finfish","0","0","0","0"
"Fruit","0.0529
(0.00678 - 0.243)","0.00857
(0.0008 - 0.0561)","0.00452
(0.00035 - 0.0335)","0.0721
(0.00952 - 0.297)"
"Grains and seeds","0.0358
(0.00236 - 0.205)","0.00577
(0.000313 - 0.0471)","0.00302
(0.000144 - 0.0277)","0.0482
(0.00326 - 0.25)"
"Lamb","0.112
(0.00756 - 0.619)","0.0183
(0.00101 - 0.138)","0.00957
(0.000454 - 0.0815)","0.15
(0.0104 - 0.782)"
"Molluscs","0","0","0","0"
"Nuts","0.0173
(0.000287 - 0.117)","0.00278
(0.0000477 - 0.0275)","0.00146
(0.0000233 - 0.0163)","0.0234
(0.000367 - 0.142)"
"Pork","0.0743
(0.00334 - 0.458)","0.0121
(0.00047 - 0.101)","0.00639
(0.000222 - 0.0601)","0.0995
(0.00453 - 0.57)"
"Poultry","0","0","0","0"
"Vegetables","0.238
(0.0426 - 0.939)","0.0394
(0.00464 - 0.215)","0.0208
(0.00195 - 0.128)","0.319
(0.0619 - 1.17)"
"Other","0.0766
(0.0117 - 0.394)","0.0127
(0.00131 - 0.088)","0.00667
(0.000567 - 0.0517)","0.103
(0.0169 - 0.491)"
"AllFood","1.18
(0.549 - 2.33)","0.202
(0.0475 - 0.61)","0.108
(0.0189 - 0.379)","1.58
(0.852 - 2.79)"
