"Source","5-64","65+","<5","All ages"
"Beef","1.4
(0.675 - 3.57)","1.84
(0.778 - 6.98)","0.324
(0.11 - 1.02)","3.61
(1.77 - 11.8)"
"Crustaceans","0.269
(0.027 - 2.12)","0.492
(0.0497 - 4.17)","0.157
(0.0123 - 0.833)","0.94
(0.0965 - 7.57)"
"Dairy","1.57
(0.636 - 3.94)","2.64
(1 - 7.8)","0.631
(0.2 - 1.88)","4.94
(2.01 - 13.3)"
"Eggs","0.65
(0.0653 - 2.12)","1.56
(0.158 - 4.91)","0.107
(0.00976 - 0.443)","2.39
(0.248 - 7.05)"
"Finfish","0.677
(0.119 - 2.76)","1.13
(0.197 - 5.09)","0.397
(0.0508 - 1.58)","2.24
(0.392 - 9.42)"
"Fruit","0.87
(0.268 - 2.69)","1.44
(0.393 - 4.9)","0.409
(0.0773 - 1.18)","2.82
(0.799 - 9.06)"
"Grains and seeds","0.202
(0.0312 - 1.19)","0.326
(0.0203 - 1.91)","0.033
(0.00407 - 0.214)","0.576
(0.0694 - 3)"
"Lamb","0.85
(0.369 - 3.01)","1.2
(0.445 - 6.25)","0.191
(0.0587 - 0.802)","2.28
(0.993 - 10.4)"
"Molluscs","0.21
(0.0365 - 1.98)","0.396
(0.0733 - 3.99)","0.11
(0.013 - 0.657)","0.74
(0.131 - 7.15)"
"Nuts","0.102
(0.0148 - 1.03)","0.166
(0.0103 - 1.09)","0.0168
(0.00196 - 0.16)","0.291
(0.0338 - 2.2)"
"Pork","1.39
(0.617 - 3.61)","1.99
(0.723 - 7.06)","0.434
(0.105 - 1.32)","3.9
(1.62 - 12.1)"
"Poultry","2.72
(1.38 - 4.99)","8.2
(4.03 - 14.4)","0.522
(0.191 - 1.33)","11.6
(6.15 - 19.8)"
"Vegetables","2.73
(1.4 - 5.01)","4.73
(2.18 - 9.66)","0.953
(0.401 - 2.02)","8.56
(4.33 - 16.2)"
"Other","0.671
(0.224 - 2.16)","1.18
(0.226 - 5.02)","0.0828
(0.0211 - 0.368)","2.02
(0.571 - 7.61)"
"AllFood","12.8
(9.81 - 16.5)","25.3
(18.8 - 33)","4.26
(2.74 - 6.42)","42.6
(35.2 - 51.3)"
