"Source","5-64","65+","<5","All ages"
"Beef","0.000489
(0.0000227 - 0.00538)","0.0229
(0.00509 - 0.115)","0.000554
(0.0000281 - 0.00521)","0.025
(0.00579 - 0.122)"
"Crustaceans","0.00000256
(0.000000000056 - 0.000278)","0.000143
(0.00000000316 - 0.00616)","0.00000525
(0.000000000119 - 0.000549)","0.000164
(0.00000000328 - 0.00687)"
"Dairy","0.000427
(0.0000147 - 0.00505)","0.0216
(0.00335 - 0.105)","0.000468
(0.0000178 - 0.00501)","0.0237
(0.00376 - 0.111)"
"Eggs","0.000173
(0.000000974 - 0.0032)","0.00995
(0.000871 - 0.0519)","0.000363
(0.00000209 - 0.00647)","0.0117
(0.00105 - 0.0577)"
"Finfish","0.00000861
(0.00000000848 - 0.00029)","0.000519
(0.00000153 - 0.00618)","0.000018
(0.0000000177 - 0.000586)","0.00061
(0.00000174 - 0.00676)"
"Fruit","0.000041
(0.000000225 - 0.000941)","0.00236
(0.000173 - 0.017)","0.0000862
(0.000000458 - 0.00186)","0.00278
(0.000208 - 0.0188)"
"Grains and seeds","0.0000344
(0.000000109 - 0.00105)","0.00211
(0.000042 - 0.0203)","0.0000725
(0.000000214 - 0.00213)","0.00247
(0.000049 - 0.0226)"
"Lamb","0.000308
(0.0000116 - 0.00424)","0.0158
(0.0022 - 0.0907)","0.000345
(0.0000145 - 0.00397)","0.0173
(0.00251 - 0.0974)"
"Molluscs","0.00000995
(0.00000000695 - 0.000342)","0.000603
(0.00000118 - 0.00712)","0.0000209
(0.0000000145 - 0.000686)","0.000708
(0.00000136 - 0.00792)"
"Nuts","0.0000176
(0.0000000566 - 0.000601)","0.00105
(0.0000225 - 0.0122)","0.0000368
(0.000000116 - 0.00121)","0.00123
(0.0000264 - 0.0137)"
"Pork","0.000396
(0.0000158 - 0.00502)","0.0198
(0.00329 - 0.107)","0.000444
(0.0000196 - 0.00473)","0.0218
(0.00372 - 0.114)"
"Poultry","0.00406
(0.000168 - 0.037)","0.213
(0.0743 - 0.598)","0.00399
(0.000203 - 0.0296)","0.232
(0.0846 - 0.62)"
"Vegetables","0.000884
(0.0000433 - 0.0074)","0.0375
(0.00886 - 0.134)","0.00114
(0.0000541 - 0.00943)","0.0416
(0.0102 - 0.142)"
"Other","0.000466
(0.00000664 - 0.00727)","0.0309
(0.00156 - 0.142)","0.000437
(0.00000903 - 0.00608)","0.0338
(0.00178 - 0.15)"
"AllFood","0.00845
(0.000517 - 0.0576)","0.372
(0.173 - 0.892)","0.00953
(0.00065 - 0.0528)","0.406
(0.199 - 0.926)"
