"Source","5-64","65+","<5","All ages"
"Beef","0.00195
(0.000156 - 0.0167)","0.00245
(0.000187 - 0.0216)","0.00215
(0.000186 - 0.0161)","0.00905
(0.00183 - 0.047)"
"Crustaceans","0.00000938
(0.000000000204 - 0.00103)","0.00001
(0.000000000206 - 0.00114)","0.0000185
(0.000000000403 - 0.00195)","0.0000744
(0.00000000262 - 0.0042)"
"Dairy","0.00171
(0.000109 - 0.0159)","0.00214
(0.000133 - 0.0203)","0.00182
(0.000128 - 0.0156)","0.00821
(0.00127 - 0.0445)"
"Eggs","0.000638
(0.00000365 - 0.0122)","0.000679
(0.00000379 - 0.0135)","0.00128
(0.00000722 - 0.0227)","0.00501
(0.000237 - 0.0407)"
"Finfish","0.0000809
(0.00000199 - 0.00146)","0.000095
(0.00000235 - 0.0017)","0.000135
(0.00000317 - 0.00245)","0.000478
(0.0000374 - 0.00576)"
"Fruit","0.000153
(0.000000793 - 0.00351)","0.000162
(0.000000845 - 0.00388)","0.000307
(0.00000167 - 0.00645)","0.00118
(0.0000496 - 0.0122)"
"Grains and seeds","0.000128
(0.000000372 - 0.004)","0.000136
(0.000000419 - 0.00433)","0.000254
(0.000000788 - 0.00758)","0.00104
(0.0000156 - 0.0147)"
"Lamb","0.00133
(0.0000957 - 0.013)","0.00168
(0.000116 - 0.0168)","0.00145
(0.000114 - 0.0126)","0.0063
(0.00105 - 0.0376)"
"Molluscs","0.0000369
(0.0000000249 - 0.00128)","0.0000391
(0.000000027 - 0.00143)","0.000074
(0.0000000482 - 0.00238)","0.000297
(0.000000584 - 0.00494)"
"Nuts","0.0000647
(0.000000199 - 0.00223)","0.0000697
(0.000000216 - 0.00243)","0.000129
(0.000000408 - 0.00416)","0.000525
(0.00000838 - 0.00847)"
"Pork","0.00225
(0.000203 - 0.0166)","0.00285
(0.000245 - 0.0213)","0.00248
(0.000242 - 0.0166)","0.0101
(0.00215 - 0.0469)"
"Poultry","0.0138
(0.00059 - 0.107)","0.0175
(0.000707 - 0.141)","0.0128
(0.000675 - 0.085)","0.0678
(0.0128 - 0.241)"
"Vegetables","0.00354
(0.000283 - 0.0244)","0.0043
(0.000343 - 0.0295)","0.00434
(0.000351 - 0.0312)","0.0168
(0.00335 - 0.0688)"
"Other","0.00207
(0.0000592 - 0.0223)","0.00269
(0.0000735 - 0.0294)","0.00191
(0.0000728 - 0.0186)","0.0105
(0.000922 - 0.0575)"
"AllFood","0.0315
(0.00294 - 0.171)","0.039
(0.00354 - 0.221)","0.0337
(0.00348 - 0.158)","0.142
(0.0411 - 0.39)"
