"Source","5-64","65+","<5","All ages"
"Beef","3.93
(0.604 - 19.3)","1.11
(0.171 - 5.46)","0.547
(0.0841 - 2.69)","5.59
(0.859 - 27.5)"
"Crustaceans","0","0","0","0"
"Dairy","3.78
(0.295 - 17.3)","1.07
(0.0833 - 4.88)","0.526
(0.041 - 2.4)","5.38
(0.419 - 24.5)"
"Eggs","0","0","0","0"
"Finfish","0","0","0","0"
"Fruit","0","0","0","0"
"Grains and seeds","0","0","0","0"
"Lamb","2.8
(0.138 - 14.8)","0.792
(0.0391 - 4.19)","0.39
(0.0193 - 2.06)","3.98
(0.197 - 21.1)"
"Molluscs","0","0","0","0"
"Nuts","0","0","0","0"
"Pork","3.47
(0.291 - 17.9)","0.979
(0.0822 - 5.05)","0.482
(0.0405 - 2.49)","4.93
(0.413 - 25.4)"
"Poultry","45
(16.6 - 103)","12.7
(4.69 - 29)","6.27
(2.31 - 14.3)","64
(23.6 - 146)"
"Vegetables","4.6
(0.358 - 19)","1.3
(0.101 - 5.38)","0.64
(0.0498 - 2.65)","6.53
(0.509 - 27.1)"
"Other","6.68
(0.00402 - 25.4)","1.89
(0.00114 - 7.18)","0.929
(0.000559 - 3.53)","9.49
(0.00571 - 36.1)"
"AllFood","69.2
(34 - 142)","19.6
(9.6 - 40.2)","9.63
(4.73 - 19.8)","98.4
(48.3 - 202)"
