"Source","5-64","65+","<5","All ages"
"Beef","568
(202 - 2,340)","266
(91.7 - 1,060)","91.8
(31.9 - 344)","942
(341 - 3,990)"
"Crustaceans","9.91
(1.03 - 149)","10.2
(1.03 - 88)","3.62
(0.364 - 56.4)","24.2
(2.7 - 260)"
"Dairy","526
(121 - 2,240)","259
(63.9 - 1,010)","70.8
(18.8 - 344)","883
(214 - 3,850)"
"Eggs","511
(52.9 - 1,530)","208
(21.4 - 619)","197
(20.4 - 588)","931
(98.6 - 2,600)"
"Finfish","33.6
(5.38 - 152)","23.4
(5.06 - 95.6)","12.4
(1.78 - 55.4)","71
(13.2 - 274)"
"Fruit","132
(20.4 - 457)","60.4
(13.1 - 192)","48.4
(6.36 - 173)","242
(41.4 - 760)"
"Grains and seeds","104
(6.05 - 579)","41.5
(2.09 - 232)","38.5
(1.61 - 223)","182
(9.88 - 966)"
"Lamb","385
(95.5 - 2,130)","183
(42.7 - 948)","53.6
(16.7 - 303)","639
(161 - 3,650)"
"Molluscs","31
(1.68 - 164)","15.3
(2.03 - 91.6)","11.9
(0.58 - 61.8)","59.2
(4.76 - 282)"
"Nuts","53.4
(3.11 - 322)","21.3
(1.1 - 128)","19.6
(0.846 - 122)","93.8
(5.12 - 526)"
"Pork","491
(139 - 2,240)","235
(66.4 - 1,010)","73.9
(23.9 - 327)","819
(239 - 3,840)"
"Poultry","4,320
(2,260 - 6,930)","2,160
(1,130 - 3,330)","430
(207 - 799)","7,030
(3,830 - 10,400)"
"Vegetables","1,100
(363 - 2,690)","501
(171 - 1,200)","280
(64.3 - 638)","1,910
(634 - 4,570)"
"Other","668
(77.3 - 2,370)","335
(32.6 - 1,100)","55.7
(12.8 - 284)","1,080
(129 - 4,010)"
"AllFood","8,250
(6,410 - 10,900)","4,010
(3,090 - 5,080)","1,320
(974 - 1,750)","13,600
(11,500 - 16,500)"
