"Source","5-64","65+","<5","All ages"
"Beef","141
(34.7 - 644)","32.7
(7.78 - 150)","0.288
(0.079 - 1.28)","180
(45.6 - 775)"
"Crustaceans","1
(0.0000179 - 41.6)","0.199
(0.00000402 - 8.21)","0.00397
(0.0000000658 - 0.156)","1.2
(0.0000197 - 47.7)"
"Dairy","133
(22 - 592)","31
(5 - 138)","0.263
(0.0488 - 1.25)","171
(28.7 - 713)"
"Eggs","73.7
(6.72 - 351)","14.4
(1.3 - 69.3)","0.302
(0.0285 - 1.35)","92.4
(8.62 - 406)"
"Finfish","3.84
(0.0103 - 41.3)","0.751
(0.00195 - 8.18)","0.0156
(0.0000399 - 0.155)","4.79
(0.012 - 47.5)"
"Fruit","17.5
(1.35 - 114)","3.41
(0.257 - 22.7)","0.0715
(0.00554 - 0.437)","21.8
(1.72 - 133)"
"Grains and seeds","15.6
(0.312 - 138)","3.04
(0.0613 - 27.3)","0.0632
(0.00124 - 0.536)","19.3
(0.386 - 162)"
"Lamb","97.5
(14.7 - 527)","22.8
(3.25 - 122)","0.191
(0.0365 - 1.14)","126
(19 - 638)"
"Molluscs","4.48
(0.00791 - 46.6)","0.873
(0.00152 - 9.27)","0.0182
(0.0000313 - 0.176)","5.58
(0.00951 - 53.6)"
"Nuts","7.81
(0.168 - 81.5)","1.52
(0.0326 - 16.3)","0.0318
(0.000673 - 0.314)","9.67
(0.209 - 94.7)"
"Pork","123
(22 - 601)","28.5
(4.89 - 141)","0.243
(0.0517 - 1.22)","157
(28.7 - 723)"
"Poultry","1,270
(516 - 3,140)","304
(123 - 759)","2.17
(0.903 - 5.13)","1,650
(721 - 3,590)"
"Vegetables","239
(61.7 - 776)","52.9
(13.4 - 173)","0.611
(0.159 - 1.96)","303
(80.4 - 915)"
"Other","186
(10.6 - 772)","45
(2.27 - 184)","0.297
(0.0278 - 1.37)","246
(13.7 - 919)"
"AllFood","2,250
(1,230 - 4,720)","527
(284 - 1,120)","4.48
(2.49 - 8.55)","2,870
(1,730 - 5,340)"
