"Source","5-64","65+","<5","All ages"
"Beef","37.2
(11.3 - 143)","9.5
(2.82 - 35.7)","6.79
(2.26 - 28.1)","54.1
(17 - 211)"
"Crustaceans","0.259
(0.0000042 - 10.2)","0.0564
(0.000000855 - 2.27)","0.083
(0.00000106 - 2.98)","0.397
(0.0000058 - 15)"
"Dairy","35.2
(7.48 - 136)","9.05
(1.87 - 33.3)","6.19
(1.45 - 27.3)","51.6
(11.2 - 202)"
"Eggs","20.3
(1.6 - 93.9)","4.37
(0.338 - 20.9)","7.13
(0.612 - 28.4)","32.5
(2.65 - 140)"
"Finfish","1.75
(0.208 - 17.8)","0.409
(0.05 - 4.37)","0.533
(0.0611 - 4.87)","2.73
(0.332 - 27.7)"
"Fruit","4.74
(0.321 - 29.3)","1.03
(0.0682 - 6.54)","1.67
(0.121 - 8.69)","7.61
(0.533 - 43.5)"
"Grains and seeds","4.14
(0.0774 - 36.3)","0.893
(0.0168 - 8.04)","1.43
(0.027 - 10.9)","6.61
(0.123 - 54.2)"
"Lamb","26.6
(5.83 - 126)","6.86
(1.44 - 31)","4.71
(1.24 - 25.5)","38.9
(8.8 - 187)"
"Molluscs","1.2
(0.00195 - 11.5)","0.258
(0.000438 - 2.58)","0.417
(0.000635 - 3.34)","1.91
(0.00294 - 16.9)"
"Nuts","2.07
(0.0429 - 20.9)","0.445
(0.00915 - 4.65)","0.713
(0.0149 - 6.18)","3.29
(0.0683 - 31.1)"
"Pork","40.2
(12.1 - 142)","10.4
(3.08 - 35.1)","7.42
(2.48 - 28.6)","58.7
(18.3 - 210)"
"Poultry","307
(146 - 529)","80.8
(38.4 - 138)","45.6
(20.9 - 80.5)","440
(222 - 709)"
"Vegetables","65
(19.4 - 178)","16
(4.72 - 42.8)","14.5
(4.46 - 39.3)","96.9
(29.7 - 256)"
"Other","50.8
(5.56 - 156)","13.6
(1.4 - 39.4)","7.32
(1.1 - 27.9)","73.5
(8.28 - 222)"
"AllFood","569
(400 - 781)","146
(102 - 202)","99.7
(72.6 - 133)","818
(639 - 1,040)"
