"","Pathogen","median","5%","95%"
"1","All gastro pathogens",581.710555382758,478.224629889567,761.8704795002
"2","Norovirus",491.27357364936,396.339012050119,745.021535649116
"3","Escherichia coli (Non-STEC)",477.463204203709,406.209064747084,612.807953995255
"4","Campylobacter",1813.16432854796,1510.33421238478,2239.98329861249
"5","Non-typhoidal Salmonella",3096.59247726259,2212.95427930621,4685.57882844714
"6","Shigella",1895.21170662846,1527.15010570108,2998.73252683161
"7","Toxoplasma gondii",794.538593783997,582.784301814213,1394.55041833743
"8","Listeria monocytogenes",456717.805996022,286814.487304474,898015.456390409
"9","Salmonella Typhi",20678.1284345028,15710.9000131929,43761.6729321998
"10","STEC",7097.90561000995,3534.60171468387,16394.6612911252
"11","Yersinia Enterocolitica",1347.68322536311,993.519249275368,1845.88898585079
"12","All pathogens",593.84297088166,487.291849006133,779.027666549426
