"","Pathogen","Disease","AgeGroup","CostItem","median","5%","95%"
"1","All gastro pathogens","Gastroenteritis","<5","GPSpecialist",2314435.8896195,1268853.20905127,3859531.21731409
"2","All gastro pathogens","Gastroenteritis","<5","ED",4153833.10513905,1976552.65020487,8272246.02909475
"3","All gastro pathogens","Gastroenteritis","<5","Medications",3233489.66712404,1708592.64720454,5655500.57806435
"4","All gastro pathogens","Gastroenteritis","<5","Tests",515470.44538957,219860.45344125,1151758.50340643
"5","All gastro pathogens","Gastroenteritis","<5","Hospitalisation",8059163.09291566,4206748.44942521,14162038.0622726
"6","All gastro pathogens","Gastroenteritis","<5","Deaths",5711844.89691185,2722703.90871488,11140539.2410287
"7","All gastro pathogens","Gastroenteritis","<5","WTP",12704287.7741661,6858486.24741945,22176245.4718575
"8","All gastro pathogens","Gastroenteritis","<5","WTPOngoing",0,0,0
"9","All gastro pathogens","Gastroenteritis","<5","HumanCapital",71212325.6450295,35047624.3855814,140350698.600319
"10","All gastro pathogens","Gastroenteritis","<5","FrictionHigh",56969860.5160236,28038099.5084651,112280558.880255
"11","All gastro pathogens","Gastroenteritis","<5","FrictionLow",21363697.6935088,10514287.3156744,42105209.5800956
"12","All gastro pathogens","Gastroenteritis","<5","TotalHumanCapital",109998442.360507,64153992.3866756,189365254.752911
"13","All gastro pathogens","Gastroenteritis","<5","TotalFrictionHigh",95764022.4599648,56910884.7131736,161550503.156461
"14","All gastro pathogens","Gastroenteritis","<5","TotalFrictionLow",60042004.0073343,38255934.1479165,92897604.4989956
"15","All gastro pathogens","Gastroenteritis","5-64","GPSpecialist",32211304.9408842,17661014.5033157,53741219.7572784
"16","All gastro pathogens","Gastroenteritis","5-64","ED",57817312.2155344,27520599.6031313,114934676.331784
"17","All gastro pathogens","Gastroenteritis","5-64","Medications",30373060.5498853,16726197.7305139,50447689.0541527
"18","All gastro pathogens","Gastroenteritis","5-64","Tests",7164223.34208795,3061853.49622942,16040154.7605966
"19","All gastro pathogens","Gastroenteritis","5-64","Hospitalisation",45112561.6174153,23541199.2186598,79100257.1877334
"20","All gastro pathogens","Gastroenteritis","5-64","Deaths",18848059.3366094,9553039.09299099,34366125.6116856
"21","All gastro pathogens","Gastroenteritis","5-64","WTP",169484767.475344,88230090.9372555,301515535.599085
"22","All gastro pathogens","Gastroenteritis","5-64","WTPOngoing",0,0,0
"23","All gastro pathogens","Gastroenteritis","5-64","HumanCapital",1467352377.8455,809575656.92253,2451968948.29186
"24","All gastro pathogens","Gastroenteritis","5-64","FrictionHigh",1173881902.2764,647660525.538024,1961575158.63349
"25","All gastro pathogens","Gastroenteritis","5-64","FrictionLow",440205713.353649,242872697.076759,735590684.487557
"26","All gastro pathogens","Gastroenteritis","5-64","TotalHumanCapital",1841561302.38127,1052765056.08378,3000093699.60861
