"","Pathogen","Disease","AgeGroup","CostItem","median","5%","95%"
"1","All gastro pathogens","Gastroenteritis","<5","Premature mortality",5701288.63403943,2714353.72644119,11147591.675343
"2","All gastro pathogens","Gastroenteritis","<5","HumanCapital",71075497.255337,35068636.4243975,140303012.598526
"3","All gastro pathogens","Gastroenteritis","<5","FrictionHigh",56860397.8042696,28054909.139518,112242410.078821
"4","All gastro pathogens","Gastroenteritis","<5","FrictionLow",21322649.1766011,10520590.9273192,42090903.7795578
"5","All gastro pathogens","Gastroenteritis","<5","TotalHumanCapital",109966370.418125,63990236.3529741,189066824.299108
"6","All gastro pathogens","Gastroenteritis","<5","TotalFrictionHigh",95689186.3030528,56790774.5032963,161343117.993796
"7","All gastro pathogens","Gastroenteritis","<5","TotalFrictionLow",60019616.0184898,38167151.6199469,92720202.566114
"8","All gastro pathogens","Gastroenteritis","<5","Direct",18942880.451608,12176671.4129213,27903498.0021897
"9","All gastro pathogens","Gastroenteritis","<5","Pain and suffering",12704711.5253035,6830962.10137767,22152766.7764356
"10","All gastro pathogens","Gastroenteritis","5-64","Premature mortality",18837884.5276276,9547937.09127318,34351015.2597169
"11","All gastro pathogens","Gastroenteritis","5-64","HumanCapital",1467944202.01781,808746636.326067,2454944414.3924
"12","All gastro pathogens","Gastroenteritis","5-64","FrictionHigh",1174355361.61424,646997309.060854,1963955531.51392
"13","All gastro pathogens","Gastroenteritis","5-64","FrictionLow",440383260.605342,242623990.89782,736483324.31772
"14","All gastro pathogens","Gastroenteritis","5-64","TotalHumanCapital",1841976969.12312,1052463519.46199,3004791561.16401
"15","All gastro pathogens","Gastroenteritis","5-64","TotalFrictionHigh",1548256904.41937,890017884.184028,2513834102.02417
"16","All gastro pathogens","Gastroenteritis","5-64","TotalFrictionLow",812853706.925343,480847292.620573,1293731883.50841
"17","All gastro pathogens","Gastroenteritis","5-64","Direct",177910618.885967,111007294.765095,273105330.546304
"18","All gastro pathogens","Gastroenteritis","5-64","Pain and suffering",169486021.319643,87962035.2048154,301226948.802249
"19","All gastro pathogens","Gastroenteritis","65+","Premature mortality",183196293.066101,95432337.1311854,322894315.305697
"20","All gastro pathogens","Gastroenteritis","65+","HumanCapital",177546436.592435,50280647.9422589,879771572.928652
"21","All gastro pathogens","Gastroenteritis","65+","FrictionHigh",142037149.273948,40224518.3538072,703817258.342922
"22","All gastro pathogens","Gastroenteritis","65+","FrictionLow",53263930.9777304,15084194.3826777,263931471.878596
"23","All gastro pathogens","Gastroenteritis","65+","TotalHumanCapital",558263364.607329,344227096.182306,1267411372.24255
"24","All gastro pathogens","Gastroenteritis","65+","TotalFrictionHigh",522944411.971568,329028748.150059,1094015711.56808
"25","All gastro pathogens","Gastroenteritis","65+","TotalFrictionLow",429598293.028469,284861429.403975,680604329.80807
"26","All gastro pathogens","Gastroenteritis","65+","Direct",126481312.190748,77895885.2020312,198865921.380138
"27","All gastro pathogens","Gastroenteritis","65+","Pain and suffering",39734643.6328016,21404163.7978667,69256547.9257948
"28","All gastro pathogens","Gastroenteritis","All ages","Premature mortality",209656231.119108,120286595.081054,349730593.8488
"29","All gastro pathogens","Gastroenteritis","All ages","HumanCapital",1790335659.80625,973202824.518607,3135127542.43317
"30","All gastro pathogens","Gastroenteritis","All ages","FrictionHigh",1432268527.845,778562259.614886,2508102033.94654
"31","All gastro pathogens","Gastroenteritis","All ages","FrictionLow",537100697.941874,291960847.355582,940538262.729951
"32","All gastro pathogens","Gastroenteritis","All ages","TotalHumanCapital",2570873756.47823,1573595100.25908,4129519783.14581
"33","All gastro pathogens","Gastroenteritis","All ages","TotalFrictionHigh",2212952372.43731,1377053435.96499,3506187329.14578
"34","All gastro pathogens","Gastroenteritis","All ages","TotalFrictionLow",1315951048.53623,874024818.933749,1957368468.38198
"35","All gastro pathogens","Gastroenteritis","All ages","Direct",327809566.960054,226079017.267611,460758085.633268
"36","All gastro pathogens","Gastroenteritis","All ages","Pain and suffering",221996563.054197,116375209.82314,392599499.159699
"37","All gastro pathogens","Reactive arthritis","<5","Premature mortality",161968.066249423,18560.5772008641,747032.957631115
"38","All gastro pathogens","Reactive arthritis","<5","HumanCapital",7354483.13570326,3950022.29472764,12717241.9349134
"39","All gastro pathogens","Reactive arthritis","<5","FrictionHigh",5883586.50856261,3160017.83578211,10173793.5479307
"40","All gastro pathogens","Reactive arthritis","<5","FrictionLow",2206344.94071098,1185006.68841829,3815172.58047403
"41","All gastro pathogens","Reactive arthritis","<5","TotalHumanCapital",11735255.0648821,6326657.88132211,20453290.6438373
"42","All gastro pathogens","Reactive arthritis","<5","TotalFrictionHigh",10253991.7794072,5513914.47081819,17944783.7612071
