"","Measure","Pathogen","Disease","AgeGroup","median","5%","95%"
"1","Deaths","All gastro pathogens","Gastroenteritis","<5",1.00022607614727,0.476202408147577,1.95571783777947
"2","Deaths","All gastro pathogens","Gastroenteritis","5-64",3.30489202239081,1.67507668267951,6.02649390521349
"3","Deaths","All gastro pathogens","Gastroenteritis","65+",32.1397005379125,16.7425152861729,56.6481254922275
"4","Deaths","All gastro pathogens","Gastroenteritis","All ages",36.7817949331769,21.1029114177288,61.3562445348772
"5","Deaths","All gastro pathogens","Reactive arthritis","<5",0.0284154502191969,0.00325624161418669,0.131058413619494
"6","Deaths","All gastro pathogens","Reactive arthritis","5-64",0.0276885182514147,0.00277520527377644,0.158172184698323
"7","Deaths","All gastro pathogens","Reactive arthritis","65+",0.0296364729931386,0.00271928388025186,0.176252351352796
"8","Deaths","All gastro pathogens","Reactive arthritis","All ages",0.118391491799683,0.0340730261779724,0.329514451572977
"9","Deaths","All gastro pathogens","Irritable bowel syndrome","<5",0.00794250319154896,0.000628751774930877,0.0441820775970891
"10","Deaths","All gastro pathogens","Irritable bowel syndrome","5-64",0.0322203258918285,0.00741050178283515,0.120267073147381
"11","Deaths","All gastro pathogens","Irritable bowel syndrome","65+",0.175466264120141,0.0738927850193755,0.451271070085198
"12","Deaths","All gastro pathogens","Irritable bowel syndrome","All ages",0.234430583783347,0.113734915226491,0.520150737311551
"13","Deaths","All gastro pathogens","Guillain-Barré syndrome","<5",0.00977985910519814,8.04821419273841e-05,0.0955084780736051
"14","Deaths","All gastro pathogens","Guillain-Barré syndrome","5-64",0.749491066005365,0.30051618687858,1.5655679822941
"15","Deaths","All gastro pathogens","Guillain-Barré syndrome","65+",8.57929115842741,3.75034616813238,15.8725965783987
"16","Deaths","All gastro pathogens","Guillain-Barré syndrome","All ages",9.421359029739,4.53952388948565,16.741726802523
"17","Deaths","All gastro pathogens","Haemolytic uremic syndrome","<5",0.0134656564958928,0.000114982126117552,0.127878373754779
"18","Deaths","All gastro pathogens","Haemolytic uremic syndrome","5-64",0.814741586091229,0.363465305806756,1.66454714262556
"19","Deaths","All gastro pathogens","Haemolytic uremic syndrome","65+",1.48006445655015,0.703991051045943,2.8600654746586
